trader_name,owner_name,license_number,latitude,longitude,inspection_status,instrument_type
Bergnaum LLC Hardware & Steel Depot,Mr. Demond Reichel,LMO/2026/10016,29.236157,77.017276,Pending,Electronic Weighing Scale
Thiel-Spinka Smith and Runolfsdottir Cotton Ginning Mill,Wallace Hintz,LMO/2026/10017,28.879718,76.818863,Passed,Electronic Counter Scale
Lubowitz-Oberbrunner Kemmer and Kutch Flour Mill,Charlene Koelpin,LMO/2026/10018,28.550640,76.633423,Passed,Electronic Counter Scale
Howell and Sons Supermarket,Icie Hilpert,LMO/2026/10019,29.563090,77.292607,Passed,Non-Automatic Weighing Instrument
Bayer - Schmidt Cotton Ginning Mill,Pasquale Trantow V,LMO/2026/10020,28.609597,76.960405,Pending,Flow Meter
Doyle Inc Dairy & Sweets,Mr. Shane Douglas,LMO/2026/10021,29.150479,76.513862,Failed,Flow Meter
Koepp - Renner Jewellers,Urban Cummings-Turcotte,LMO/2026/10022,28.588318,77.321048,Passed,Fuel Dispenser
King - Bradtke Grain Market Depot,Gust Friesen,LMO/2026/10023,29.690168,77.215108,Passed,Automatic Gravimetric Filling Scale
Flatley Bergstrom-Heaney and West Dairy & Sweets,Rylan Dibbert-Okuneva I,LMO/2026/10024,28.796462,76.655046,Passed,Platform Scale
Emmerich Ortiz and Schaden Dairy & Sweets,Aaron Lang,LMO/2026/10025,28.986843,77.499185,Failed,Weighbridge
Keebler - Moore-Lind Hardware & Steel Depot,Addison Crist,LMO/2026/10026,28.742875,76.528012,Passed,Platform Scale
Cremin Paucek and Kunde Fertilizers & Agro Chemicals,Mr. Damion Medhurst,LMO/2026/10027,29.006031,77.448693,Passed,Platform Scale
Haley Ward and Reilly Cold Storage,Marguerite Schimmel IV,LMO/2026/10028,29.070144,76.787437,Failed,Platform Scale
Kozey Luettgen and Collier Fertilizers & Agro Chemicals,Herminia Dietrich,LMO/2026/10029,29.710449,76.589690,Passed,Weighbridge
Weber - Gusikowski Flour Mill,Mrs. Clair Bruen,LMO/2026/10030,29.621949,76.896603,Passed,Electronic Weighing Scale
Schuster - Howe Kirana Store,Mr. Eldred Pouros DDS,LMO/2026/10031,28.606934,76.947171,Pending,Fuel Dispenser
Bins - Towne Kirana Store,Haleigh Kling,LMO/2026/10032,28.254056,77.493746,Passed,Fuel Dispenser
Abbott Murray and Dickens Fuel Station,Jose Christiansen,LMO/2026/10033,29.521222,76.611517,Passed,Platform Scale
Daugherty and Sons Grain Market Depot,Alvin Larson,LMO/2026/10034,29.631919,76.712170,Passed,Fuel Dispenser
Kuvalis Inc Hardware & Steel Depot,Kyleigh Schneider,LMO/2026/10035,28.747893,77.387699,Pending,Flow Meter
Schowalter - Hayes Fuel Station,Reggie McCullough,LMO/2026/10036,29.569676,76.862172,Pending,Fuel Dispenser
Kassulke Inc Jewellers,Name Stracke-Bosco,LMO/2026/10037,29.203307,77.465673,Passed,Non-Automatic Weighing Instrument
Lakin-Reichert Gottlieb and Greenholt Logistics Hub,Maximillia Strosin,LMO/2026/10038,28.495000,76.631917,Passed,Crane Scale
Sipes - Reichel Logistics Hub,Ms. Desiree Wyman,LMO/2026/10039,28.563013,76.361832,Passed,Fuel Dispenser
Ruecker and Sons Pharma Labs,Vivianne Funk,LMO/2026/10040,29.089828,76.411964,Pending,Flow Meter
Kuhlman Group Pharma Labs,Lucie Greenholt-Ernser,LMO/2026/10041,28.772069,76.612767,Failed,Flow Meter
Rippin - McClure Fertilizers & Agro Chemicals,Ignatius Reilly I,LMO/2026/10042,28.949700,76.960337,Failed,Electronic Counter Scale
Dickens LLC Fertilizers & Agro Chemicals,Susan Hahn,LMO/2026/10043,28.760068,77.479392,Pending,Fuel Dispenser
Ankunding Kautzer and Prohaska Hardware & Steel Depot,Rudy Lubowitz,LMO/2026/10044,29.472375,77.275015,Passed,Crane Scale
Wiza Inc General Trading Co,Bartholome Gottlieb,LMO/2026/10045,29.098695,76.618322,Pending,Automatic Gravimetric Filling Scale
Purdy LLC General Trading Co,Phillip Weissnat,LMO/2026/10046,28.178247,77.066877,Passed,Crane Scale
Prohaska - Kirlin-Kuvalis Cold Storage,Elvera Murazik,LMO/2026/10047,28.430075,76.528420,Passed,Flow Meter
Pouros Group Grain Market Depot,Wallace Ullrich,LMO/2026/10048,29.150162,76.565506,Pending,Crane Scale
VonRueden - Pacocha Grain Market Depot,Barney Conroy,LMO/2026/10049,28.379183,77.360825,Pending,Weighbridge
Greenholt LLC Cold Storage,Ms. Jada Stracke,LMO/2026/10050,29.628407,76.476972,Passed,Flow Meter
Brakus - Witting Flour Mill,Lula Howe,LMO/2026/10051,28.759721,76.941602,Passed,Platform Scale
Marks - White Jewellers,Jordan Herman,LMO/2026/10052,29.530129,76.890761,Pending,Flow Meter
Spinka and Sons Kirana Store,Geo Russel I,LMO/2026/10053,29.741059,77.375601,Pending,Platform Scale
Barrows and Sons Pharma Labs,Arjun Tillman IV,LMO/2026/10054,28.905443,77.184501,Passed,Weighbridge
Bailey - Altenwerth Flour Mill,Demario Feeney,LMO/2026/10055,28.234973,77.155264,Passed,Fuel Dispenser
Johnson Hand and Sawayn Hardware & Steel Depot,Mrs. Cordie Daniel,LMO/2026/10056,29.465384,77.237809,Passed,Flow Meter
Kulas Heller and Gleason-Hansen Fertilizers & Agro Chemicals,Reyna Pfeffer,LMO/2026/10057,28.661275,76.605998,Passed,Platform Scale
Orn-Harvey - Kreiger Cotton Ginning Mill,Randolph Becker,LMO/2026/10058,28.720881,77.486267,Passed,Analytical Precision Balance
Wyman Inc Supermarket,Sheila Terry,LMO/2026/10059,29.712743,76.496330,Pending,Electronic Weighing Scale
Boyle Kuhic and Zulauf Supermarket,Ms. Jan Kemmer,LMO/2026/10060,29.018220,76.820470,Pending,Electronic Weighing Scale
Langworth - Kuhic Cold Storage,Dr. Gabe Greenfelder,LMO/2026/10061,28.695526,77.270400,Failed,Non-Automatic Weighing Instrument
Borer - Stehr Fertilizers & Agro Chemicals,Jacey Dibbert,LMO/2026/10062,29.397150,77.017400,Passed,Flow Meter
Hand - Medhurst Supermarket,Shelly Reilly III,LMO/2026/10063,28.402555,76.947392,Passed,Electronic Counter Scale
Lebsack and Sons Cold Storage,Mr. Alford Fisher,LMO/2026/10064,29.462104,76.740194,Passed,Weighbridge
Mertz - Harvey Jewellers,Zoe O'Reilly,LMO/2026/10065,29.596751,77.015429,Pending,Electronic Weighing Scale
Medhurst Emard and Ledner Jewellers,Raphael Kozey,LMO/2026/10066,28.684547,76.793515,Pending,Electronic Weighing Scale
Streich Group General Trading Co,Helen Orn,LMO/2026/10067,28.894974,76.944814,Failed,Automatic Gravimetric Filling Scale
Mueller - Schneider Kirana Store,Jace Lesch,LMO/2026/10068,29.453700,76.527659,Pending,Weighbridge
Prohaska Group Flour Mill,Alberto Waelchi,LMO/2026/10069,29.057576,77.160184,Pending,Weighbridge
Dickinson - Kemmer Grain Market Depot,Rodolfo Lynch,LMO/2026/10070,29.640972,77.137603,Failed,Platform Scale
Pouros Lehner and Gerlach Cotton Ginning Mill,Cullen Kutch,LMO/2026/10071,29.333632,77.479260,Passed,Electronic Weighing Scale
Leffler LLC Fertilizers & Agro Chemicals,Georgia Kilback-Thiel,LMO/2026/10072,28.310299,77.326656,Passed,Fuel Dispenser
Jast Group Jewellers,Kaley Gibson,LMO/2026/10073,28.858693,76.744025,Passed,Electronic Weighing Scale
Schroeder Cruickshank and Kertzmann Cold Storage,Brooks Feeney,LMO/2026/10074,28.490560,77.013267,Passed,Electronic Counter Scale
Ziemann Inc Kirana Store,Hilton Mayert,LMO/2026/10075,28.895661,77.281386,Passed,Crane Scale
Weber - Wiza Supermarket,Cortney Harvey,LMO/2026/10076,29.485901,77.254486,Pending,Crane Scale
McClure - Bauch Pharma Labs,Maxie Crona,LMO/2026/10077,28.358653,76.613944,Pending,Crane Scale
Mraz Borer and Boehm Fuel Station,Abdul Romaguera,LMO/2026/10078,28.268827,77.141400,Failed,Flow Meter
Tillman Marks and Cole Hardware & Steel Depot,Anita Mitchell,LMO/2026/10079,28.636625,76.475048,Pending,Weighbridge
Torphy Nader and Kuhic Cotton Ginning Mill,Damian Ziemann,LMO/2026/10080,29.671929,76.618791,Passed,Non-Automatic Weighing Instrument
Bartoletti - Hickle Supermarket,Maddison Lesch,LMO/2026/10081,29.063301,76.877652,Passed,Flow Meter
Paucek - Kozey Kirana Store,Sammy Morissette,LMO/2026/10082,28.934938,77.071727,Passed,Platform Scale
Mann - Braun-D'Amore Dairy & Sweets,Mrs. Kirstin O'Connell,LMO/2026/10083,28.492102,76.722643,Passed,Fuel Dispenser
Cronin Hammes and Grant Logistics Hub,Armand Koelpin,LMO/2026/10084,29.731727,77.283327,Passed,Electronic Counter Scale
Rogahn Jerde and Purdy Pharma Labs,Okey Fisher,LMO/2026/10085,28.359834,76.576890,Pending,Electronic Weighing Scale
Orn - Lind Supermarket,Calista Koepp,LMO/2026/10086,29.612920,76.440642,Passed,Crane Scale
Miller - Runolfsson Hardware & Steel Depot,Heloise Kuvalis,LMO/2026/10087,28.510836,77.014556,Pending,Fuel Dispenser
Leuschke McCullough and Bechtelar Fertilizers & Agro Chemicals,Graciela Kunde I,LMO/2026/10088,28.423381,77.234693,Failed,Fuel Dispenser
Rosenbaum Wehner and Wiza Cotton Ginning Mill,Milford Olson,LMO/2026/10089,28.434446,76.790962,Passed,Electronic Counter Scale
Von - Huels Logistics Hub,Ashlee Carroll-Schinner Jr.,LMO/2026/10090,28.285000,76.597567,Passed,Platform Scale
Stracke LLC Dairy & Sweets,Brad Boyle,LMO/2026/10091,28.517214,77.257250,Passed,Fuel Dispenser
Langworth Grimes and Schumm Dairy & Sweets,Jose Runolfsson,LMO/2026/10092,29.137772,76.469609,Pending,Platform Scale
Jacobs - Rippin Logistics Hub,Antonina Stiedemann,LMO/2026/10093,28.723082,76.719740,Pending,Electronic Weighing Scale
Bogan and Sons Grain Market Depot,Madilyn Erdman,LMO/2026/10094,28.319186,77.441321,Pending,Flow Meter
Towne - Volkman Hardware & Steel Depot,Mrs. Aubree Dach Jr.,LMO/2026/10095,29.406224,77.000787,Passed,Crane Scale
Abbott - Jerde General Trading Co,Broderick Gulgowski IV,LMO/2026/10096,29.661703,77.215191,Passed,Analytical Precision Balance
Ebert Inc Cotton Ginning Mill,Erwin Prohaska,LMO/2026/10097,28.554243,77.180082,Pending,Analytical Precision Balance
Bailey Towne and Harvey Cold Storage,Johan Schiller,LMO/2026/10098,29.580789,77.168012,Passed,Weighbridge
Larkin - D'Amore Fertilizers & Agro Chemicals,Darby Lowe,LMO/2026/10099,28.965212,77.064124,Passed,Non-Automatic Weighing Instrument
Koelpin - Jaskolski Dairy & Sweets,Kallie Schoen,LMO/2026/10100,29.677516,77.365574,Passed,Electronic Counter Scale
Kulas Group Jewellers,Vena Carroll,LMO/2026/10101,29.223563,77.364322,Pending,Non-Automatic Weighing Instrument
Brakus Hegmann and McGlynn Kirana Store,Ned Carroll,LMO/2026/10102,29.118572,77.197491,Pending,Automatic Gravimetric Filling Scale
Orn Halvorson and Schmidt Dairy & Sweets,Melyna Schowalter,LMO/2026/10103,28.350376,77.175058,Failed,Fuel Dispenser
Hettinger Dickens and Deckow Grain Market Depot,Sandy Schowalter,LMO/2026/10104,28.440162,76.584642,Passed,Automatic Gravimetric Filling Scale
Lakin Stoltenberg and Hand-Jakubowski Grain Market Depot,Jan Wyman,LMO/2026/10105,28.479672,76.586118,Failed,Electronic Weighing Scale
Marks and Sons Kirana Store,Joanie Reilly-Grimes,LMO/2026/10106,28.372694,77.459595,Pending,Weighbridge
Hamill-Keeling Inc Cotton Ginning Mill,Shaniya Wunsch,LMO/2026/10107,28.245112,76.980888,Failed,Weighbridge
Abbott - Heaney Jewellers,Karson Runte,LMO/2026/10108,29.594203,76.631351,Passed,Platform Scale
Medhurst - Murphy Dairy & Sweets,Jaiden Gibson,LMO/2026/10109,29.266562,77.308901,Passed,Automatic Gravimetric Filling Scale
Williamson Lebsack and McKenzie Jewellers,Asha Beer,LMO/2026/10110,28.515793,76.558666,Passed,Flow Meter
Walter Group Flour Mill,Darwin Nikolaus,LMO/2026/10111,29.280998,77.019518,Passed,Flow Meter
Brown - Ferry Fertilizers & Agro Chemicals,Audrey Kuhic,LMO/2026/10112,29.421106,76.683647,Passed,Electronic Counter Scale
Ullrich - Hintz Logistics Hub,Tina Moen,LMO/2026/10113,28.866303,77.417565,Pending,Analytical Precision Balance
Bosco Schmitt-Hyatt and DuBuque Hardware & Steel Depot,Mack Jenkins,LMO/2026/10114,28.156348,76.899347,Passed,Flow Meter
Von Stamm and Wolff Supermarket,Eleanora Becker,LMO/2026/10115,28.374560,77.424703,Passed,Flow Meter
Howell - King Pharma Labs,Karine Mohr,LMO/2026/10116,28.573305,76.370781,Pending,Automatic Gravimetric Filling Scale
Hoeger Group Jewellers,Yvonne Collins,LMO/2026/10117,28.840985,76.453779,Pending,Electronic Weighing Scale
Bernier Conroy and Okuneva Pharma Labs,Doyle Prohaska,LMO/2026/10118,28.445170,77.087448,Passed,Non-Automatic Weighing Instrument
Jones-Fadel Hodkiewicz and Cummerata Dairy & Sweets,Mr. Frederick Ward,LMO/2026/10119,28.458250,76.585852,Passed,Electronic Weighing Scale
Abbott LLC Dairy & Sweets,Mrs. Alexandra Gutmann,LMO/2026/10120,29.214187,76.748078,Passed,Non-Automatic Weighing Instrument
Gulgowski and Sons Logistics Hub,Omer Schroeder,LMO/2026/10121,29.027573,76.429876,Passed,Fuel Dispenser
Bosco - Simonis Fertilizers & Agro Chemicals,Christopher Hauck,LMO/2026/10122,29.660218,77.454186,Passed,Automatic Gravimetric Filling Scale
Schmitt LLC Grain Market Depot,Jorge Hegmann,LMO/2026/10123,29.438216,77.240003,Pending,Crane Scale
Mills McCullough and Hettinger General Trading Co,Roosevelt Bogisich,LMO/2026/10124,28.869371,76.968353,Failed,Crane Scale
Rippin-Abernathy Inc Cotton Ginning Mill,Emerson Brown,LMO/2026/10125,28.818097,77.332139,Pending,Fuel Dispenser
Schmidt - Bosco Logistics Hub,Fletcher Hahn,LMO/2026/10126,28.606124,76.722233,Passed,Analytical Precision Balance
Monahan - Carroll Cotton Ginning Mill,Camden Ullrich-Hyatt,LMO/2026/10127,29.738114,77.066860,Failed,Flow Meter
White Group Fuel Station,Cade Macejkovic,LMO/2026/10128,29.317202,76.624060,Passed,Platform Scale
Kassulke Group Grain Market Depot,Yolanda Braun,LMO/2026/10129,29.615530,77.081755,Failed,Platform Scale
Emmerich - Ondricka Dairy & Sweets,Trenton Johnson,LMO/2026/10130,29.515281,77.082998,Passed,Electronic Counter Scale
Bechtelar - Lynch Kirana Store,Millie Stanton,LMO/2026/10131,29.446132,77.165868,Passed,Analytical Precision Balance
Ziemann Inc General Trading Co,Cyrus Funk V,LMO/2026/10132,28.703665,76.855469,Pending,Electronic Counter Scale
Moen Group Kirana Store,Bradly Hammes,LMO/2026/10133,28.295329,76.573213,Passed,Non-Automatic Weighing Instrument
Swaniawski - Cummerata Fertilizers & Agro Chemicals,Edwardo Kihn,LMO/2026/10134,29.548033,77.311678,Failed,Weighbridge
Fadel Terry and Ullrich Logistics Hub,Mr. Geoffrey Franecki,LMO/2026/10135,28.801619,76.981690,Passed,Non-Automatic Weighing Instrument
Herman - Simonis Hardware & Steel Depot,Ophelia Schmidt,LMO/2026/10136,28.460539,76.478607,Passed,Non-Automatic Weighing Instrument
Denesik Grant-Dare and Little Logistics Hub,Alia Erdman,LMO/2026/10137,29.082323,76.648271,Failed,Fuel Dispenser
Botsford Group Jewellers,Wesley Bogisich,LMO/2026/10138,28.754570,77.101789,Passed,Analytical Precision Balance
Feil - Raynor Supermarket,Mr. Reagan Walter,LMO/2026/10139,28.523505,76.734894,Pending,Electronic Counter Scale
Ullrich Inc Supermarket,Litzy Johnston PhD,LMO/2026/10140,28.353046,77.000448,Pending,Analytical Precision Balance
Stark-Rodriguez - Bernhard Grain Market Depot,Pasquale Cremin III,LMO/2026/10141,29.642960,76.567950,Pending,Automatic Gravimetric Filling Scale
Kessler Group Cotton Ginning Mill,Alycia Wiegand,LMO/2026/10142,28.611164,76.550781,Passed,Non-Automatic Weighing Instrument
Moen - Schaefer Cotton Ginning Mill,Dr. Wellington Nader,LMO/2026/10143,28.923913,76.858551,Pending,Platform Scale
Stokes and Sons Grain Market Depot,Margaret Reynolds,LMO/2026/10144,29.342422,76.645165,Pending,Automatic Gravimetric Filling Scale
Johnston-Schaden Bosco and Walsh Fuel Station,Brionna Stroman,LMO/2026/10145,28.973263,76.420398,Passed,Platform Scale
Abbott - Bins Hardware & Steel Depot,Adrain Weimann,LMO/2026/10146,28.553935,77.126875,Passed,Crane Scale
Okuneva - Bayer Cotton Ginning Mill,Richard Ledner,LMO/2026/10147,29.656768,76.803819,Passed,Analytical Precision Balance
Yost Farrell and Willms Fertilizers & Agro Chemicals,Mrs. Hailey Homenick,LMO/2026/10148,28.229731,76.917285,Passed,Flow Meter
Tromp Group Cold Storage,Deondre Mayer MD,LMO/2026/10149,29.600979,77.351492,Passed,Platform Scale
Runolfsson Inc Logistics Hub,Ilene Bayer,LMO/2026/10150,28.695414,76.975880,Pending,Automatic Gravimetric Filling Scale
Jacobson and Sons Fuel Station,Burley Shields,LMO/2026/10151,28.553543,77.357697,Passed,Automatic Gravimetric Filling Scale
Feil and Sons Hardware & Steel Depot,Wanda McCullough,LMO/2026/10152,28.385721,77.360182,Passed,Platform Scale
Prosacco Corwin and Schiller Logistics Hub,Shanon Stanton,LMO/2026/10153,28.167050,77.123859,Pending,Electronic Weighing Scale
Quigley - McDermott Fertilizers & Agro Chemicals,Rodrick Legros,LMO/2026/10154,29.365460,76.741689,Pending,Weighbridge
Wilkinson - Gutmann Pharma Labs,Reilly Labadie,LMO/2026/10155,28.505897,77.499494,Passed,Platform Scale
Schinner - Johnson-Moen Jewellers,Elisha Schuster,LMO/2026/10156,29.682930,76.863805,Pending,Platform Scale
Mayert Grant and Rath Flour Mill,Della Hintz,LMO/2026/10157,28.242694,76.910055,Pending,Non-Automatic Weighing Instrument
Marvin Welch and Williamson Logistics Hub,Ambrose Keeling,LMO/2026/10158,28.340809,77.488191,Passed,Flow Meter
Kiehn Inc Hardware & Steel Depot,Cordie Koss,LMO/2026/10159,28.283963,76.525637,Pending,Electronic Weighing Scale
Fay Rice and Mann Supermarket,Prince Lowe,LMO/2026/10160,28.329808,77.256494,Pending,Fuel Dispenser
Kihn - Hagenes Flour Mill,Nannie Cronin,LMO/2026/10161,29.518428,77.422070,Passed,Fuel Dispenser
Tromp - Sporer Hardware & Steel Depot,Dr. Lea Dooley,LMO/2026/10162,29.461715,76.528389,Pending,Crane Scale
Hammes Reinger and Beer Fertilizers & Agro Chemicals,Jadyn Hoppe,LMO/2026/10163,29.018219,77.045860,Passed,Analytical Precision Balance
Goodwin Douglas and Tromp Cotton Ginning Mill,Anissa Quitzon,LMO/2026/10164,28.927502,76.916653,Pending,Crane Scale
Hand Gerhold and Satterfield Pharma Labs,Chyna Stark,LMO/2026/10165,29.356617,76.606564,Passed,Flow Meter
Price Inc Grain Market Depot,Reilly Brekke,LMO/2026/10166,29.459898,76.921012,Passed,Analytical Precision Balance
Mann - Hudson Grain Market Depot,Freddie Considine,LMO/2026/10167,29.580896,77.367360,Failed,Automatic Gravimetric Filling Scale
Heaney LLC Dairy & Sweets,Mrs. Lavinia Veum,LMO/2026/10168,28.785446,77.114843,Failed,Fuel Dispenser
Rosenbaum Inc Jewellers,Boyd Satterfield,LMO/2026/10169,29.309559,76.998775,Passed,Electronic Weighing Scale
Rodriguez Group Jewellers,Minnie Becker,LMO/2026/10170,29.749978,77.479550,Failed,Automatic Gravimetric Filling Scale
Olson Champlin and Bruen Supermarket,Dillon Lakin,LMO/2026/10171,29.492140,77.479552,Passed,Platform Scale
Homenick Inc Cold Storage,Karolann Leffler,LMO/2026/10172,29.390284,76.740086,Passed,Analytical Precision Balance
Morissette - Schimmel Fuel Station,Brooks Kozey,LMO/2026/10173,29.156413,76.794865,Passed,Non-Automatic Weighing Instrument
Renner Inc Pharma Labs,Oren Hilpert,LMO/2026/10174,29.474323,77.044012,Passed,Automatic Gravimetric Filling Scale
Orn Collier-Kris and Doyle Pharma Labs,Stephania Williamson,LMO/2026/10175,29.142067,77.498942,Passed,Non-Automatic Weighing Instrument
Koelpin Jacobs and Murphy Supermarket,Demond Howe,LMO/2026/10176,28.520475,76.735453,Pending,Non-Automatic Weighing Instrument
Mann and Sons Hardware & Steel Depot,Xzavier Langworth,LMO/2026/10177,28.182709,77.385104,Failed,Analytical Precision Balance
Hills and Sons Cotton Ginning Mill,Destany Wiegand,LMO/2026/10178,29.177791,76.841625,Passed,Analytical Precision Balance
Oberbrunner and Sons Kirana Store,Conor Lockman,LMO/2026/10179,29.473731,77.027825,Passed,Fuel Dispenser
Bartell Group Supermarket,Adella Dare,LMO/2026/10180,29.375157,77.420446,Failed,Weighbridge
Greenholt Torp and Kshlerin Hardware & Steel Depot,Wilson Swaniawski,LMO/2026/10181,28.612221,77.335892,Pending,Flow Meter
Oberbrunner Block and Fisher Logistics Hub,Krista Christiansen PhD,LMO/2026/10182,29.032985,77.187193,Passed,Electronic Counter Scale
Wehner Willms and Dibbert Hardware & Steel Depot,Christiana Streich,LMO/2026/10183,28.168628,77.154492,Pending,Automatic Gravimetric Filling Scale
Cummerata Schultz and Runolfsson Kirana Store,Tom Stiedemann,LMO/2026/10184,28.687950,76.414424,Pending,Flow Meter
West Inc Supermarket,Shirley Marks,LMO/2026/10185,28.599380,76.826969,Passed,Flow Meter
Pfannerstill Littel and Jacobson Supermarket,Mr. Narciso Pfannerstill,LMO/2026/10186,28.540005,77.413937,Passed,Non-Automatic Weighing Instrument
Donnelly Bins and Dibbert Pharma Labs,Lorine Hackett,LMO/2026/10187,29.455979,76.388396,Passed,Electronic Counter Scale
Spencer - Dietrich Supermarket,Raymundo Hirthe,LMO/2026/10188,28.765075,77.428356,Passed,Fuel Dispenser
Ernser - Frami Cold Storage,Denise Cummerata,LMO/2026/10189,28.852265,76.752907,Passed,Flow Meter
Kilback - Anderson Pharma Labs,Eldred Koepp,LMO/2026/10190,28.675294,76.906462,Passed,Electronic Counter Scale
Considine - Wiegand General Trading Co,Mr. Robb Reynolds,LMO/2026/10191,29.177482,77.260753,Pending,Electronic Counter Scale
O'Conner - Lakin General Trading Co,Ariel Koelpin Jr.,LMO/2026/10192,28.176355,76.798091,Passed,Fuel Dispenser
Pagac and Sons Grain Market Depot,Jaron Goodwin,LMO/2026/10193,28.678193,77.381849,Pending,Platform Scale
Armstrong Rath and Mann Logistics Hub,Brennan Brown,LMO/2026/10194,29.458789,76.720161,Passed,Automatic Gravimetric Filling Scale
Schneider - Stracke Fertilizers & Agro Chemicals,Marian Mueller,LMO/2026/10195,28.419567,77.020866,Passed,Electronic Counter Scale
Cartwright - Reichert Hardware & Steel Depot,Garland Dicki,LMO/2026/10196,29.130437,77.212239,Passed,Electronic Counter Scale
Fadel - Hilll Fuel Station,Ricardo Glover MD,LMO/2026/10197,29.631300,76.425077,Passed,Fuel Dispenser
Erdman Bechtelar and Lindgren Flour Mill,Vicenta Kessler,LMO/2026/10198,28.907942,76.960673,Pending,Analytical Precision Balance
Bogisich Group Logistics Hub,Mr. Tre Reichert,LMO/2026/10199,29.108559,76.834773,Passed,Fuel Dispenser
Buckridge Goyette and Marquardt Dairy & Sweets,Idella Hoppe,LMO/2026/10200,29.495148,77.109250,Failed,Weighbridge
Franecki Dietrich and Conn Dairy & Sweets,Afton Wilderman,LMO/2026/10201,29.288600,76.977444,Passed,Analytical Precision Balance
Schmitt Ullrich and Morar Pharma Labs,Jodi Price,LMO/2026/10202,28.914468,77.295888,Passed,Platform Scale
Yost and Sons Flour Mill,Mr. Zander Boyer-Schaden,LMO/2026/10203,28.480212,77.104488,Passed,Analytical Precision Balance
Graham Murphy and Lakin-Douglas Cold Storage,Emilio Ratke,LMO/2026/10204,29.711619,76.412888,Passed,Non-Automatic Weighing Instrument
Brekke Hane and Fay Supermarket,Brian Harvey,LMO/2026/10205,28.397577,76.781710,Pending,Weighbridge
Hagenes Mills and Ledner Fuel Station,Carrie Waelchi,LMO/2026/10206,28.202173,77.063914,Passed,Automatic Gravimetric Filling Scale
Mohr Auer and Kutch Fuel Station,Steven Green III,LMO/2026/10207,29.636306,76.812227,Passed,Fuel Dispenser
Reilly Ledner and McClure Cold Storage,Nadia Hayes,LMO/2026/10208,28.726963,77.394214,Failed,Analytical Precision Balance
Friesen LLC Flour Mill,Shania Connelly,LMO/2026/10209,28.511735,76.609058,Passed,Fuel Dispenser
Larson - King Cotton Ginning Mill,Gino Marvin,LMO/2026/10210,29.255973,77.449226,Pending,Electronic Counter Scale
Frami Inc Hardware & Steel Depot,Britney Ankunding,LMO/2026/10211,29.722612,77.065006,Failed,Non-Automatic Weighing Instrument
Beahan - Pollich Kirana Store,Marquis Corkery,LMO/2026/10212,29.405105,76.666895,Pending,Analytical Precision Balance
Ebert Group Cold Storage,Mr. Javier Koss,LMO/2026/10213,28.863231,76.680490,Passed,Flow Meter
Mills Inc Logistics Hub,Guadalupe Considine,LMO/2026/10214,29.343617,77.337679,Pending,Flow Meter
Parker Inc Kirana Store,Conor Koch,LMO/2026/10215,28.179444,77.480631,Passed,Weighbridge
Zboncak and Sons Hardware & Steel Depot,Mrs. Kyla Hayes,LMO/2026/10216,28.848701,76.439914,Pending,Weighbridge
Franecki - Cruickshank Supermarket,Dandre Padberg,LMO/2026/10217,28.295619,77.337689,Passed,Electronic Weighing Scale
Torp - Fisher Fuel Station,Roma Nienow PhD,LMO/2026/10218,29.433902,77.266548,Passed,Flow Meter
